variable;estatística shapiro-wilk;valor p shapiro-wilk;estatística kolmogorov-smirnov;valor p kolmogorov-smirnov
BEN;0.7632712721824646;0.0;0.5299225081550256;0.0
CO;0.9586889147758484;1.1961642267411857e-23;0.531391656049247;0.0
MXIL;0.6600000858306885;0.0;0.5324820978059223;0.0
NO;0.6585447192192078;0.0;0.9772498680518208;0.0
NO2;0.9708122611045837;5.900969488164345e-20;0.9952220902151867;0.0
O3;0.9872966408729553;1.7854973142356068e-12;0.9981603860036294;0.0
PM2.5;0.8810945153236389;5.8443724117608225e-37;0.9947323742504462;0.0
SO2;0.7914146780967712;2.802596928649634e-45;0.9674555487570118;0.0
TOL;0.7304986715316772;0.0;0.6302479656814568;0.0
